user_id,battery_capacity_(kwh),charging_station_id,energy_consumed_(kwh),charging_duration_(hours),charging_rate_(kw),charging_cost_(usd),time_of_day,day_of_week,state_of_charge_(start_%),state_of_charge_(end_%),distance_driven_(since_last_charge)_(km),temp(°c),vehicle_age_(years),charger_type,vehicle_model_bmw_i3,vehicle_model_chevy_bolt,vehicle_model_hyundai_kona,vehicle_model_nissan_leaf,vehicle_model_tesla_model3,charg_stn_loc_chicago,charg_stn_loc_houston,charg_stn_loc_LA,charg_stn_loc_newyork,charg_stn_loc_san_fran,user_type_Casual Driver,user_type_Commuter,user_type_Long-Distance Traveler,start_hour,start_day,start_month,end_hour,end_day,end_month,weekday,weekend,time_since_last_charge,energy_consumed_lag_1,energy_consumed_lag_2,charging_duration_lag_1,charging_duration_lag_2,energy_consumed_roll_mean_3,energy_consumed_roll_std_3,charging_duration_roll_mean_3,charging_duration_roll_std_3,start_hour_sin,start_hour_cos,weekday_sin,weekday_cos
1,1.645479988101605,391,0.8274145575181924,-1.5820845192264743,0.7650637305223552,-0.8805494412276016,2,2,-0.8210440442933058,0.6429836484558876,1.671617948776785,0.8555717164629318,-0.698518411133098,2,1,0,0,0,0,0,1,0,0,0,0,1,0,5,8,4,6,8,4,-1.490320836259711,-0.6123724356957944,0.0,0.000517130861675689,0.0018357852075720773,-0.012007972324607145,-0.012828975651079278,0.03193237856328076,-0.015944868436121588,-0.011086173561667925,-0.049418681326219856,0.9659258262890683,0.25881904510252074,-0.9729578811050594,0.23098260020086597
2,1.235034935104349,428,-1.3879241992338316,0.8148654275321263,0.3466835662603296,-0.1323949167808156,0,1,-1.6212014401529171,0.557730657493253,-0.4942711447909599,-0.0642514298373816,-0.2654208374371442,0,0,0,1,0,0,0,0,0,0,1,1,0,0,8,8,4,14,8,4,-1.490320836259711,-0.6123724356957944,0.0,0.8285568289443369,0.0018357852075720773,-1.5821784316995802,-0.012828975651079278,0.03193237856328076,-0.015944868436121588,-0.011086173561667925,-0.049418681326219856,0.8660254037844387,-0.4999999999999998,-0.9729578811050594,0.23098260020086597
3,0.0225668579332922,181,-1.076981251901225,0.1727977713693171,0.1149008451281164,1.2203783128565988,0,4,-1.7567165617413811,-0.3059588521019021,-0.9753721053396428,0.3870609940946762,-0.698518411133098,1,0,1,0,0,0,0,0,0,0,1,0,1,0,11,8,4,18,8,4,-1.490320836259711,-0.6123724356957944,0.0,-1.3875600706816469,0.8279776211498304,0.8165224539643595,-1.581946090618075,-0.960905958427257,0.7084368699478807,-0.3488771759521247,0.7466202922872416,0.258819045102521,-0.9659258262890682,-0.9729578811050594,0.23098260020086597
4,-1.1899012192377647,327,1.6859001577265695,-0.9456096904498328,0.508216167189406,-0.8853392378796987,2,6,1.4124235383767598,1.4339101671235288,0.5495338662864434,1.5549270284633585,-1.1316159848290517,0,0,0,1,0,0,0,1,0,0,0,0,0,1,14,8,4,23,8,4,-1.490320836259711,-0.6123724356957944,0.0,-1.0765079039179544,-1.3896101689917217,0.17398577622662947,0.8169460537401245,-0.448357986012412,1.9279539457052122,0.025121558427555347,-0.005860093811027213,-0.4999999999999997,-0.8660254037844388,-0.9729578811050594,0.23098260020086597
5,-1.1899012192377647,108,-1.0540723172530422,-0.2353423558735232,-1.152219697037833,-1.1528236739312157,0,6,0.2131284054909488,-0.6675489877124582,0.5982729660265983,-1.5579669609867923,-1.1316159848290517,0,0,0,1,0,0,0,0,1,0,0,0,0,1,16,8,4,20,8,4,-1.490320836259711,-0.6123724356957944,0.0,1.687343974209949,-1.078351549363554,-0.9452386668313522,0.1743581438013591,-0.24903594129250115,1.6717880022414282,-0.591990641569971,-0.7047454598619455,-0.8660254037844385,-0.5000000000000004,-0.9729578811050594,0.23098260020086597
6,-1.1899012192377647,335,0.024538795838034,-1.038752633369953,-0.850504717723464,1.335110064091834,2,6,1.084052448777386,-0.1850346859941705,-0.1175484208507582,-1.3852939004184035,-1.5647135585250054,2,0,0,0,1,0,0,0,0,0,1,0,0,1,19,8,4,1,9,4,-1.490320836259711,-0.6123724356957944,0.0,-1.0535909224533686,1.6873347642648682,-0.23445249175485494,-0.9449555398146439,0.40861267495222175,1.1561887263125583,-1.3039093185121655,-0.9768768816729932,-0.9659258262890684,0.2588190451025203,-0.9729578811050594,0.23098260020086597
7,0.507554088801715,162,-0.2648519570296686,1.197623901673459,0.0175912999909211,-0.0313681387828643,2,5,0.4829321658210535,-0.2545077522174839,-0.8615368172210836,0.8288194466063646,0.1676767362588095,1,0,1,0,0,0,0,1,0,0,0,0,1,0,22,8,4,2,9,4,-1.490320836259711,-0.6123724356957944,0.0,0.025399055291642877,-1.0554193573427526,-1.0384496493877349,-0.23411269071240398,-0.7560592087224598,-0.878468755604942,-0.0445246347929279,0.5145093208055085,-0.5000000000000004,0.8660254037844384,-0.9729578811050594,0.23098260020086597
8,0.0225668579332922,302,0.4040342355551897,0.3639509485102464,0.0555158033895875,-1.186752732152206,1,1,0.2938577747723374,-0.6650288388195037,-0.4413993083633103,-1.3275047858746298,-1.5647135585250054,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,9,4,10,9,4,-1.490320836259711,-0.6123724356957944,0.0,-0.26409334674887713,0.024286772210372367,1.1995605278965134,-1.0381739544818498,0.11448487148722232,-1.4300047395485114,0.30762587804440256,0.5087638970950992,0.25881904510252074,0.9659258262890683,-0.9729578811050594,0.23098260020086597
9,-0.6079165421956573,493,0.0433721081144185,-0.5140070535036073,-0.853405522983969,0.9224216631116778,2,3,-0.6508956117647152,1.0436756355888657,0.6531441473050469,0.4892291953242859,0.1676767362588095,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,9,4,7,9,4,-1.490320836259711,-0.6123724356957944,0.0,0.4050277936617545,-0.2653977729560641,0.36527858812930586,1.2000146689383069,0.12572906244251958,-1.4316571177130009,0.6159714305599072,-0.08114147021205077,0.8660254037844386,0.5000000000000001,-0.9729578811050594,0.23098260020086597
10,-1.1899012192377647,452,1.6589158415230267,-0.2286391964868877,-1.0390228392716745,-0.1152880654089457,0,3,-0.9029937749098012,-0.2980072722152492,-1.187712674627114,0.8261675928089847,-0.3388822818533546,2,0,0,1,0,0,1,0,0,0,0,0,1,0,6,9,4,16,9,4,-1.490320836259711,-0.6123724356957944,0.0,0.04423898281262429,0.4041674793781589,-0.5133207501064655,0.36566620829915664,1.2742903013332125,-0.16128572028393245,-0.22211449128195196,-0.9587840219766245,1.0,6.123233995736766e-17,-0.9729578811050594,0.23098260020086597
